Discipline (분야)	English (영어)	Korean (한국어)
건축	Fire Safety and Evacuation Plans	화재안전 및 피난계획
건축	Fire Separation Distance	화재 이격거리
건축	Fire Service Access Elevator	소방접근엘리베이터
건축	Fire Service Access Elevator	소방구조용 엘리베이터
건축	Fire Service Access Elevator Lobby	소방구조용 엘리베이터 로비
소방	Fire Service Access Elevators	소방대원 진입용 엘리베이터
건축	Fire Wall	방화벽
건축	Fire Walls	방화벽
건축	Fire Window Assemblies	방화창 조립체
소방	Fire-Extinguishing Equipment for Cooking Operations in Buildings	건물 내 조리 작업을 위한 소화 설비
건축	Fire-resistance Rated Walls	내화성능 벽체
건축	Fire-resistance Rating	내화성능
건축	Fire-resistance Rating In Each Occupancy	용도별 내화성능
건축	Fire-resistance Rating Requirements For Building Elements	건축부재의 내화성능 요구사항
건축	Fire-resistance Rating Requirements of Structure Members	구조부재의 내화성능 요구사항
소방	Fittings	피팅
소방	Fittings	부속품
건축	Flammable And Combustible Liquids	인화성 및 가연성 액체
건축	Flammable Liquid	인화성 액체
건축	Floor And Roof Assembly	바닥 및 지붕 구조재
건축	Floors	바닥
건축	Floors In Storage Rooms	저장실 바닥
소방	Flow Rate	유량
소방	Flow Test	유량 시험
소방	Flow Tests	유량 시험
소방	Foam Concentrate Storage Tanks	포 원액 저장 탱크
건축	Foam Systems	포 소화설비
소방	Foam-Water Deluge Systems	포수 델루지 시스템
소방	Foam-Water Wet Pipe, Dry Pipe, and Preaction Systems	포소화 습식, 건식 및 준비작동식 시스템
소방	Foam-Water Wet Pipe, Dry Pipe, and Preaction Systems	포소화설비 습식, 건식 및 준비작동식 시스템
소방	For Initiating Devices	기동 장치
소방	For Notification Systems	경보 시스템의 통보 출력
소방	Friction Loss	마찰 손실
소방	Fuel Supply and Arrangement	연료 공급 및 배치
소방	Fuel Supply Tank	연료 공급 탱크
소방	Fur Storage Vaults	모피 보관 금고
건축	Gas Rooms	가스실
건축	General	일반사항
건축	General	일반 사항
건축	General	일반
소방	General Definitions	일반 정의
건축	General Design Requirements	일반 설계 요구사항
소방	General Information	일반정보
건축	General Means of Egress	일반 피난시설
소방	General Performance.	일반 성능
건축	General Requirements	일반 요구사항
소방	General Requirements	일반 요구 사항
소방	General Requirements	일반사항
소방	General Requirements for Storage	저장 일반 요구사항
건축	Glass Walls	유리벽
건축	Glazing	유리창
건축	Graphics	그래픽
소방	Gridded Systems	그리드 시스템
건축	Group A	Group A
건축	Group B	Group B
건축	Group E	Group E
건축	Group F	Group F
건축	Group F-1	Group F-1
건축	Group H	Group H
건축	Group H Occupancy Minimum Fire Separation Distance	Group H 용도 최소 화재이격거리
건축	Group H-1	Group H-1
건축	Group H-1, H-2, H-3, H-4 And H-5	Group H-1, H-2, H-3, H-4 및 H-5
건축	Group H-2	Group H-2
건축	Group H-2, H-3 And H-4 Occupancies	Group H-2, H-3 및 H-4 용도
건축	Group H-3 And H-4	Group H-3 및 H-4
건축	Group H-3 and H-4	Group H-3 및 H-4
건축	Group H-5 Occupancy	Group H-5 용도
건축	Group I	Group I
건축	Group M	Group M
건축	Group R	Group R
건축	Group R-1	Group R-1
건축	Group R-2	Group R-2
건축	Group S	Group S
건축	Group S-1	Group S-1
건축	Group S-2 Parking Garage	Group S-2 주차장
건축	Groups F-1 and S-1 Increase	Group F-1 및 S-1 증가
건축	Groups H-2 And H-3	Groups H-2 및 H-3
건축	Groups H-5 Increase	Group H-5 증가
건축	Guards	난간
소방	Guard’s Tour Supervisory Signal	경비원 순찰 감시 신호
건축	Halon Systems	할론 소화설비
건축	Handrail Extensions	손잡이 연장
건축	Handrail Graspability	난간 파지성
건축	Handrails	손잡이
건축	Hardware Height	하드웨어 높이
소방	Hazard Specifications	위험 사양
건축	Hazardous Material	위험물질
건축	Hazardous Materials	위험물질
건축	Headroom	헤드룸(머리 위 여유공간)
소방	Heat	난방
소방	Heat Detectors	열감지기
소방	Heat-Producing Devices with Composite Wood Joist Construction	복합 목재 장선 구조의 발열 기기
소방	Heat-Sensing Fire Detectors	열감지식 화재감지기
소방	Heating, Ventilating, and Air-Conditioning (HVAC)	난방, 환기 및 공기조화 (HVAC)
건축	Height	높이
건축	Height	단차
건축	Height In Feet	높이
건축	Height, Building	건물높이
건축	Heights	단차
건축	Helistops and Heliports	헬리스탑 및 헬리포트
소방	High Air Movement Areas	공기 흐름이 많은 구역
소방	High Ceiling	높은 천장
소방	High Power Loudspeaker Array Enclosures	고출력 확성기 배열 외함
소방	High Power Loudspeaker Array Noise Consideration	고출력 확성기 배열 소음 고려사항
소방	High Power Loudspeaker Array Structural Loads, Wind, and Seismic Design	고출력 확성기 배열 구조물 하중, 바람 및 지진 설계
소방	High Volume Low Speed (HVLS) Fans	대풍량 저속(HVLS) 팬
건축	High-hazard Group H	고위험시설군 H
건축	High-hazard Group H	고위험군 H
건축	High-hazard Group H-1	고위험시설군 H-1
건축	High-hazard Group H-2	고위험시설군 H-2
건축	High-hazard Group H-3	고위험시설군 H-3
건축	High-hazard Group H-4	고위험시설군 H-4
건축	High-hazard Group H-5	고위험시설군 H-5
건축	High-piled Combustible Storage Areas	고적재 가연물 저장구역
소방	High-piled Storage	고적재 저장
소방	High-Rack Storage	하이랙 창고
건축	High-rise Building	고층건물
건축	High-rise Building	고층 건물
건축	High-rise Buildings	고층 건물
건축	Horizontal Assemblies	수평 구조체
건축	Horizontal Assembly	수평 구조체
건축	Horizontal Assembly	수평 구조재
건축	Horizontal Building Separation Allowance	건물의 수평 구획 허용
소방	Horizontal Combustible Concealed Spaces	수평 가연성 은폐 공간
건축	Horizontal Exit	수평 출구
건축	Horizontal Exits	수평피난구
소방	Horizontal Exits	수평 피난구
건축	Horizontal Projections	수평 돌출물
소방	Hose Allowance	호스 허용량
소방	Hose Connection	호스 접결구
소방	Hose Connections	호스 접결구
소방	Hose Houses and Equipment	호스 보관함 및 설비
소방	Hose Stream Allowance	호스 허용 방출량
소방	Hose Stream Allowance and Water Supply Duration	호스 허용 방출량 및 급수 지속시간
소방	Hose Streams	호스 방수
소방	Hospital Clothes Closets	병원 옷장
건축	Hybrid Fire Extinguishing Systems	하이브리드 소화설비
소방	Hydrant Protection	소화전 방호
소방	Hydrants	소화전
소방	Hydraulic Calculation Procedures	수리 계산 절차
소방	Hydraulic Calculation Requirements	수리계산 요구 사항
소방	Hydraulic Calculation Requirements.	수리계산 요구 사항
소방	Hydraulic Calculations	수리 계산
소방	Hydraulic Elevators	유압식 엘리베이터
소방	Hydrostatic Tests	수압 시험
소방	In-Building Emergency Voice/Alarm Communications	건물 내 비상음성/경보 통신
소방	In-Building Fire Emergency Voice/Alarm Communications Systems (EVACS)	건물 내 화재 비상 음성/경보 통신 시스템(EVACS)
소방	In-Building Mass Notification Systems	건물 내 대규모 경보 시스템
건축	Incidental Uses	부수적 용도
소방	Indication of Central Station Service	중앙 감시 서비스의 표시
건축	Information Required	필요 정보
소방	Information, Command, and Control	정보, 지휘 및 통제
건축	Initiating Device Identification	작동장치 식별
